Date,Price,Open,High,Low,Vol.,Change %
05/31/2024,0.9221,0.9232,0.9251,0.9189,,-0.10%
05/30/2024,0.9230,0.9258,0.9270,0.9220,,-0.28%
05/29/2024,0.9256,0.9211,0.9259,0.9207,,0.51%
05/28/2024,0.9209,0.9209,0.9214,0.9183,,0.00%
05/27/2024,0.9209,0.9214,0.9225,0.9201,,-0.09%
05/24/2024,0.9217,0.9247,0.9255,0.9209,,-0.31%
05/23/2024,0.9246,0.9240,0.9255,0.9207,,0.09%
05/22/2024,0.9238,0.9213,0.9245,0.9204,,0.28%
05/21/2024,0.9212,0.9209,0.9223,0.9195,,0.03%
05/20/2024,0.9209,0.9203,0.9214,0.9186,,0.14%
05/17/2024,0.9196,0.9203,0.9229,0.9191,,-0.06%
05/16/2024,0.9201,0.9184,0.9212,0.9178,,0.19%
05/15/2024,0.9184,0.9248,0.9248,0.9182,,-0.68%
05/14/2024,0.9247,0.9266,0.9283,0.9237,,-0.22%
05/13/2024,0.9267,0.9282,0.9289,0.9253,,-0.16%
05/10/2024,0.9282,0.9275,0.9294,0.9268,,0.08%
05/09/2024,0.9275,0.9305,0.9324,0.9270,,-0.29%
05/08/2024,0.9302,0.9299,0.9316,0.9295,,0.00%
05/07/2024,0.9302,0.9287,0.9304,0.9269,,0.19%
05/06/2024,0.9285,0.9292,0.9298,0.9266,,-0.08%
05/03/2024,0.9292,0.9323,0.9326,0.9248,,-0.31%
05/02/2024,0.9321,0.9336,0.9369,0.9319,,-0.14%
05/01/2024,0.9334,0.9376,0.9391,0.9316,,-0.43%
04/30/2024,0.9374,0.9325,0.9377,0.9315,,0.51%
04/29/2024,0.9326,0.9350,0.9355,0.9316,,-0.25%
04/26/2024,0.9349,0.9318,0.9369,0.9299,,0.31%
04/25/2024,0.9320,0.9347,0.9365,0.9311,,-0.27%
04/24/2024,0.9345,0.9345,0.9366,0.9333,,0.02%
04/23/2024,0.9343,0.9385,0.9400,0.9335,,-0.44%
04/22/2024,0.9384,0.9384,0.9413,0.9370,,0.00%
04/19/2024,0.9384,0.9395,0.9425,0.9365,,-0.11%
04/18/2024,0.9394,0.9370,0.9398,0.9354,,0.28%
04/17/2024,0.9368,0.9416,0.9429,0.9363,,-0.50%
04/16/2024,0.9415,0.9413,0.9434,0.9385,,0.04%
04/15/2024,0.9411,0.9401,0.9416,0.9376,,0.19%
04/12/2024,0.9393,0.9323,0.9414,0.9319,,0.77%
04/11/2024,0.9321,0.9308,0.9347,0.9296,,0.14%
04/10/2024,0.9308,0.9211,0.9321,0.9201,,1.08%
